question,answers
Horatio was a legendary Roman hero who defended a bridge against which army?,"{'answer_start': array([797]), 'text': array(['etruscan'], dtype=object)}"
Horatio was a legendary Roman hero who defended a bridge against which army?,"{'answer_start': array([491]), 'text': array(['etruscan'], dtype=object)}"
"""Who was known as the """"Moses of her people"""" for leading escaped slaves to freedom during the US Civil War?""","{'answer_start': array([170]), 'text': array(['harriet tubman'], dtype=object)}"
"""Who was known as the """"Moses of her people"""" for leading escaped slaves to freedom during the US Civil War?""","{'answer_start': array([352]), 'text': array(['harriet tubman'], dtype=object)}"
"""What Latin phrase means means to speak under one's breath, literally """"under voice""""?""","{'answer_start': array([61]), 'text': array(['sotto voce'], dtype=object)}"
"In 2010, what North American horse broke the All-time North American female earnings record with over $6 million, broke two world records for Grade/Group I (for consecutive victories and the All-time North American record number of victories by a filly/mare), and tied the All-time North American record for the number of consecutive victories without defeat?","{'answer_start': array([689]), 'text': array(['zenyatta'], dtype=object)}"
Which of the continents is the smallest in area?,"{'answer_start': array([1003]), 'text': array(['australia'], dtype=object)}"
Which of the continents is the smallest in area?,"{'answer_start': array([1133]), 'text': array(['australia'], dtype=object)}"
Which of the continents is the smallest in area?,"{'answer_start': array([104]), 'text': array(['australia'], dtype=object)}"
In 2006 Monty Panesar became the first person of what religion to play test cricket for England?,"{'answer_start': array([501]), 'text': array(['sikh'], dtype=object)}"
In 2006 Monty Panesar became the first person of what religion to play test cricket for England?,"{'answer_start': array([485]), 'text': array(['sikh'], dtype=object)}"
The island of Tasmania is governed by which country?,"{'answer_start': array([784]), 'text': array(['australian'], dtype=object)}"
Who married Heidi Klum in May 2005?,"{'answer_start': array([727]), 'text': array(['seal'], dtype=object)}"
Who married Heidi Klum in May 2005?,"{'answer_start': array([790]), 'text': array(['seal'], dtype=object)}"
Who married Heidi Klum in May 2005?,"{'answer_start': array([800]), 'text': array(['seal'], dtype=object)}"
The Nobel Peace Prize winner for 2010 lives in which country?,"{'answer_start': array([482]), 'text': array(['china'], dtype=object)}"
The Nobel Peace Prize winner for 2010 lives in which country?,"{'answer_start': array([426]), 'text': array(['china'], dtype=object)}"
The Nobel Peace Prize winner for 2010 lives in which country?,"{'answer_start': array([803]), 'text': array(['china'], dtype=object)}"
"What paraffin-derived clear, transparent liquid developed in 1924 by W. J. Stoddard and Lloyd E. Jackson began to be used by dry cleaners in 1928 and has become a common organic solvent used in painting and decorating?","{'answer_start': array([63]), 'text': array(['white spirit'], dtype=object)}"
"What paraffin-derived clear, transparent liquid developed in 1924 by W. J. Stoddard and Lloyd E. Jackson began to be used by dry cleaners in 1928 and has become a common organic solvent used in painting and decorating?","{'answer_start': array([321]), 'text': array(['white spirit'], dtype=object)}"
"What paraffin-derived clear, transparent liquid developed in 1924 by W. J. Stoddard and Lloyd E. Jackson began to be used by dry cleaners in 1928 and has become a common organic solvent used in painting and decorating?","{'answer_start': array([67]), 'text': array(['white spirit'], dtype=object)}"
Ivan Galamian has had world-wide influence as a teacher of what?,"{'answer_start': array([1014]), 'text': array(['violin'], dtype=object)}"
Ivan Galamian has had world-wide influence as a teacher of what?,"{'answer_start': array([236]), 'text': array(['violin'], dtype=object)}"
Ivan Galamian has had world-wide influence as a teacher of what?,"{'answer_start': array([214]), 'text': array(['violin'], dtype=object)}"
"What amateur rowing club based at Henley on Thames, England, was founded in 1818?","{'answer_start': array([69]), 'text': array(['leander club'], dtype=object)}"
"""Which country set up the """"Committee on Public Information"""" from April 1917 to June 1919 to run a propaganda campaign using newsprint, posters, radio, telegraph, cable and movies to broadcast its message, including fabrications (e.g. images of enemy soldiers killing babies and hoisting them on bayonets), and told citizens to seek out spies, which led to the creation of """"patriotic organizations,"""" which spied, tapped telephones, and opened mail in an effort to ferret out """"spies and traitors"""" (i.e. anyone who called for peace, questioned the war's progress, or criticized government policies)?""","{'answer_start': array([74]), 'text': array(['america'], dtype=object)}"
"""Which country set up the """"Committee on Public Information"""" from April 1917 to June 1919 to run a propaganda campaign using newsprint, posters, radio, telegraph, cable and movies to broadcast its message, including fabrications (e.g. images of enemy soldiers killing babies and hoisting them on bayonets), and told citizens to seek out spies, which led to the creation of """"patriotic organizations,"""" which spied, tapped telephones, and opened mail in an effort to ferret out """"spies and traitors"""" (i.e. anyone who called for peace, questioned the war's progress, or criticized government policies)?""","{'answer_start': array([920]), 'text': array(['america'], dtype=object)}"
"""George Bernard Shaw described dancing as """"a vertical expression of ... """" what?""","{'answer_start': array([216]), 'text': array(['horizontal desire'], dtype=object)}"
"""George Bernard Shaw described dancing as """"a vertical expression of ... """" what?""","{'answer_start': array([1258]), 'text': array(['horizontal desire'], dtype=object)}"
Elvis Presley sang a few lines in German on which US hit song?,"{'answer_start': array([12]), 'text': array(['wooden heart'], dtype=object)}"
Elvis Presley sang a few lines in German on which US hit song?,"{'answer_start': array([886]), 'text': array(['wooden heart'], dtype=object)}"
Elvis Presley sang a few lines in German on which US hit song?,"{'answer_start': array([696]), 'text': array(['wooden heart'], dtype=object)}"
What was named after American frontiersman James Bowie?,"{'answer_start': array([972]), 'text': array(['knife'], dtype=object)}"
What was named after American frontiersman James Bowie?,"{'answer_start': array([977]), 'text': array(['knife'], dtype=object)}"
What should you cross for good luck?,"{'answer_start': array([89]), 'text': array(['fingers'], dtype=object)}"
What should you cross for good luck?,"{'answer_start': array([173]), 'text': array(['fingers'], dtype=object)}"
"Stirling who was a British racing driver, who raced from 1948 to 1962 and won 212 of the 529 races he entered, including 16 Formula One Grands Prix?","{'answer_start': array([88]), 'text': array(['moss'], dtype=object)}"
"Stirling who was a British racing driver, who raced from 1948 to 1962 and won 212 of the 529 races he entered, including 16 Formula One Grands Prix?","{'answer_start': array([1421]), 'text': array(['moss'], dtype=object)}"
"Stirling who was a British racing driver, who raced from 1948 to 1962 and won 212 of the 529 races he entered, including 16 Formula One Grands Prix?","{'answer_start': array([594]), 'text': array(['moss'], dtype=object)}"
"""Who wrote the music for the musical """"A Chorus Line""""?""","{'answer_start': array([339]), 'text': array(['marvin hamlisch'], dtype=object)}"
"""Who wrote the music for the musical """"A Chorus Line""""?""","{'answer_start': array([243]), 'text': array(['marvin hamlisch'], dtype=object)}"
"""Who wrote the music for the musical """"A Chorus Line""""?""","{'answer_start': array([757]), 'text': array(['marvin hamlisch'], dtype=object)}"
"Who invaded Europe from Mongolia and Turkey over 300 years, beginning in the 13th century?","{'answer_start': array([716]), 'text': array(['tartars'], dtype=object)}"
"According to Greek legend, which sorceress helped Jason to find the golden fleece and became his wife?","{'answer_start': array([1238]), 'text': array(['medea'], dtype=object)}"
"According to Greek legend, which sorceress helped Jason to find the golden fleece and became his wife?","{'answer_start': array([7]), 'text': array(['medea'], dtype=object)}"
"MC Romeo, Dan Da Man, Mr Akira and Mr C were members of which group?","{'answer_start': array([218]), 'text': array(['so solid crew'], dtype=object)}"
"MC Romeo, Dan Da Man, Mr Akira and Mr C were members of which group?","{'answer_start': array([497]), 'text': array(['so solid crew'], dtype=object)}"
"MC Romeo, Dan Da Man, Mr Akira and Mr C were members of which group?","{'answer_start': array([611]), 'text': array(['so solid crew'], dtype=object)}"
"""Who published """"A Book of Nonsense"""" (a volume of limericks that went through three editions) in 1846, """"The History of the Seven Families of the Lake Pipple-Popple"""" in 1865, and """"The Owl and the Pussycat"""" in 1867?""","{'answer_start': array([103]), 'text': array(['edward lear'], dtype=object)}"
"""Who published """"A Book of Nonsense"""" (a volume of limericks that went through three editions) in 1846, """"The History of the Seven Families of the Lake Pipple-Popple"""" in 1865, and """"The Owl and the Pussycat"""" in 1867?""","{'answer_start': array([2]), 'text': array(['edward lear'], dtype=object)}"
"""Who published """"A Book of Nonsense"""" (a volume of limericks that went through three editions) in 1846, """"The History of the Seven Families of the Lake Pipple-Popple"""" in 1865, and """"The Owl and the Pussycat"""" in 1867?""","{'answer_start': array([221]), 'text': array(['edward lear'], dtype=object)}"
"""Who published """"A Book of Nonsense"""" (a volume of limericks that went through three editions) in 1846, """"The History of the Seven Families of the Lake Pipple-Popple"""" in 1865, and """"The Owl and the Pussycat"""" in 1867?""","{'answer_start': array([549]), 'text': array(['edward lear'], dtype=object)}"
Where was the world's tallest road bridge opened in December 2004?,"{'answer_start': array([570]), 'text': array(['france'], dtype=object)}"
"""Charlie Sheen starred as which character in the TV series """"Two and a Half Men""""?""","{'answer_start': array([55]), 'text': array(['charlie'], dtype=object)}"
"""Charlie Sheen starred as which character in the TV series """"Two and a Half Men""""?""","{'answer_start': array([296]), 'text': array(['charlie'], dtype=object)}"
"""Charlie Sheen starred as which character in the TV series """"Two and a Half Men""""?""","{'answer_start': array([566]), 'text': array(['charlie'], dtype=object)}"
"""In what sport are the """"stones"""" aimed at the """"house""""?""","{'answer_start': array([91]), 'text': array(['curling'], dtype=object)}"
"""In what sport are the """"stones"""" aimed at the """"house""""?""","{'answer_start': array([652]), 'text': array(['curling'], dtype=object)}"
The mountain massif called Maxwell Montes contains the highest point on the surface of which planet?,"{'answer_start': array([1185]), 'text': array(['venus'], dtype=object)}"
The mountain massif called Maxwell Montes contains the highest point on the surface of which planet?,"{'answer_start': array([1339]), 'text': array(['venus'], dtype=object)}"
The mountain massif called Maxwell Montes contains the highest point on the surface of which planet?,"{'answer_start': array([336]), 'text': array(['venus'], dtype=object)}"
What name is given to describes the phenomenon of the gradual mixing of two different substances which are in contact?,"{'answer_start': array([108]), 'text': array(['diffusion'], dtype=object)}"
What name is given to describes the phenomenon of the gradual mixing of two different substances which are in contact?,"{'answer_start': array([1262]), 'text': array(['diffusion'], dtype=object)}"
What name is given to describes the phenomenon of the gradual mixing of two different substances which are in contact?,"{'answer_start': array([917]), 'text': array(['diffusion'], dtype=object)}"
What type of building is likely to have a minaret?,"{'answer_start': array([733]), 'text': array(['mosques'], dtype=object)}"
What team does controversial quarterback Michael Vick play for in the National Football League in the USA?,"{'answer_start': array([982]), 'text': array(['philadelphia eagles'], dtype=object)}"
What team does controversial quarterback Michael Vick play for in the National Football League in the USA?,"{'answer_start': array([471]), 'text': array(['philadelphia eagles'], dtype=object)}"
What team does controversial quarterback Michael Vick play for in the National Football League in the USA?,"{'answer_start': array([334]), 'text': array(['philadelphia eagles'], dtype=object)}"
"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?","{'answer_start': array([87]), 'text': array(['cardigan'], dtype=object)}"
"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?","{'answer_start': array([42]), 'text': array(['cardigan'], dtype=object)}"
"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?","{'answer_start': array([511]), 'text': array(['cardigan'], dtype=object)}"
Which Europeans have been proved to have reached North America before Christopher Columbus?,"{'answer_start': array([272]), 'text': array(['viking'], dtype=object)}"
Which Europeans have been proved to have reached North America before Christopher Columbus?,"{'answer_start': array([1152]), 'text': array(['viking'], dtype=object)}"
Which Europeans have been proved to have reached North America before Christopher Columbus?,"{'answer_start': array([1347]), 'text': array(['viking'], dtype=object)}"
"Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a large festival, exhibition, and rodeo held for 10 days every summer in July, attracts more than 1.2 million visitors?","{'answer_start': array([762]), 'text': array(['calgary stampede'], dtype=object)}"
"Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a large festival, exhibition, and rodeo held for 10 days every summer in July, attracts more than 1.2 million visitors?","{'answer_start': array([534]), 'text': array(['calgary stampede'], dtype=object)}"
"Which event held in Alberta, Canada, which bills itself as The Greatest Outdoor Show on Earth, is a large festival, exhibition, and rodeo held for 10 days every summer in July, attracts more than 1.2 million visitors?","{'answer_start': array([265]), 'text': array(['calgary stampede'], dtype=object)}"
"What is the next in the series: Nigeria, Sierra Leone, Tanganyika, Uganda, Zanzibar, Kenya, Malawi, Zambia, Gambia, Botswana, Lesotho, Mauritius","{'answer_start': array([722]), 'text': array(['swaziland'], dtype=object)}"
"In Norse mythology, who was best known for carrying a hammer?","{'answer_start': array([291]), 'text': array(['thor'], dtype=object)}"
"In Norse mythology, who was best known for carrying a hammer?","{'answer_start': array([903]), 'text': array(['thor'], dtype=object)}"
"In Norse mythology, who was best known for carrying a hammer?","{'answer_start': array([445]), 'text': array(['thor'], dtype=object)}"
"""Who wrote the piece of music recognised in much of the Western world as """"The Wedding March"""" (or as """"Here Comes The Bride"""")?""","{'answer_start': array([427]), 'text': array(['mendelssohn'], dtype=object)}"
"""Who wrote the piece of music recognised in much of the Western world as """"The Wedding March"""" (or as """"Here Comes The Bride"""")?""","{'answer_start': array([1117]), 'text': array(['mendelssohn'], dtype=object)}"
"""Who wrote the piece of music recognised in much of the Western world as """"The Wedding March"""" (or as """"Here Comes The Bride"""")?""","{'answer_start': array([348]), 'text': array(['mendelssohn'], dtype=object)}"
Italian brothers Francesco and Edoardo Molinari play what sport?,"{'answer_start': array([182]), 'text': array(['golf'], dtype=object)}"
Italian brothers Francesco and Edoardo Molinari play what sport?,"{'answer_start': array([1136]), 'text': array(['golf'], dtype=object)}"
In which sea is the The Grenadines island chain?,"{'answer_start': array([781]), 'text': array(['caribbean'], dtype=object)}"
In which sea is the The Grenadines island chain?,"{'answer_start': array([173]), 'text': array(['caribbean'], dtype=object)}"
"Which 20th century American composer wrote the American Festival overture in 1939, and Symphony No. 3 considered the most important new work of 1942, and won the Pulitzer Prize in 1943?","{'answer_start': array([313]), 'text': array(['william schuman'], dtype=object)}"
"Which 20th century American composer wrote the American Festival overture in 1939, and Symphony No. 3 considered the most important new work of 1942, and won the Pulitzer Prize in 1943?","{'answer_start': array([1171]), 'text': array(['william schuman'], dtype=object)}"
"Which 20th century American composer wrote the American Festival overture in 1939, and Symphony No. 3 considered the most important new work of 1942, and won the Pulitzer Prize in 1943?","{'answer_start': array([216]), 'text': array(['william schuman'], dtype=object)}"
Who was the first African American holder of the world heavyweight boxing title?,"{'answer_start': array([280]), 'text': array(['jack johnson'], dtype=object)}"
Who was the first African American holder of the world heavyweight boxing title?,"{'answer_start': array([454]), 'text': array(['jack johnson'], dtype=object)}"
"In which city can you visit the Luigi Ferraris Stadium, the gardens of the Villa Durazzo-Pallavicini, the Piazza De Ferrari, the cemetery of Staglieno, the Edoardo Chiossone Museum of Oriental Art and the Torre della Lanterna?","{'answer_start': array([189]), 'text': array(['genova'], dtype=object)}"
Who was the last Anglo-Saxon king of England?,"{'answer_start': array([323]), 'text': array(['godwinson'], dtype=object)}"
What Scottish city is at the confluence of the rivers Dee and Don?,"{'answer_start': array([426]), 'text': array(['aberdeen'], dtype=object)}"
What Scottish city is at the confluence of the rivers Dee and Don?,"{'answer_start': array([257]), 'text': array(['aberdeen'], dtype=object)}"
What Scottish city is at the confluence of the rivers Dee and Don?,"{'answer_start': array([1177]), 'text': array(['aberdeen'], dtype=object)}"
Antananarivo is the capital of which country?,"{'answer_start': array([71]), 'text': array(['madagascar'], dtype=object)}"
Antananarivo is the capital of which country?,"{'answer_start': array([1293]), 'text': array(['madagascar'], dtype=object)}"
Antananarivo is the capital of which country?,"{'answer_start': array([119]), 'text': array(['madagascar'], dtype=object)}"
"Which tree, native to Western Australia, has flowers that are used to make honey, and long, straight trunks which provide a deep rich reddish-brown, termite-resistant wood with an attractive grain?","{'answer_start': array([321]), 'text': array(['jarrah'], dtype=object)}"
"Which tree, native to Western Australia, has flowers that are used to make honey, and long, straight trunks which provide a deep rich reddish-brown, termite-resistant wood with an attractive grain?","{'answer_start': array([217]), 'text': array(['jarrah'], dtype=object)}"
"Which tree, native to Western Australia, has flowers that are used to make honey, and long, straight trunks which provide a deep rich reddish-brown, termite-resistant wood with an attractive grain?","{'answer_start': array([708]), 'text': array(['jarrah'], dtype=object)}"
Damascus is the capital of which country?,"{'answer_start': array([917]), 'text': array(['syria'], dtype=object)}"
Damascus is the capital of which country?,"{'answer_start': array([1106]), 'text': array(['syria'], dtype=object)}"
Damascus is the capital of which country?,"{'answer_start': array([326]), 'text': array(['syria'], dtype=object)}"
Damascus is the capital of which country?,"{'answer_start': array([965]), 'text': array(['syria'], dtype=object)}"
"""In the TV series """"Dastardly and Muttley in Their Flying Machines"""", what is the name of Dastardly's squadron?""","{'answer_start': array([762]), 'text': array(['vulture'], dtype=object)}"
"""In the TV series """"Dastardly and Muttley in Their Flying Machines"""", what is the name of Dastardly's squadron?""","{'answer_start': array([463]), 'text': array(['vulture'], dtype=object)}"
"Which river runs through the cities of Basel, Strasbourg, Karlsruhe, Mainz, Koblenz, Bonn, Cologne, Dsseldorf, Arnhem, Utrecht and Rotterdam?","{'answer_start': array([471]), 'text': array(['rhine'], dtype=object)}"
"Who performed in the first concert link into space, which was sent from Anaheim California to the space shuttle Discovery in 2005?","{'answer_start': array([1038]), 'text': array(['sir paul mccartney'], dtype=object)}"
What is traditionally written in a ledger?,"{'answer_start': array([538]), 'text': array(['account'], dtype=object)}"
What is traditionally written in a ledger?,"{'answer_start': array([735]), 'text': array(['account'], dtype=object)}"
What is traditionally written in a ledger?,"{'answer_start': array([1474]), 'text': array(['account'], dtype=object)}"
"""What is the real name of """"Baby Spice"""" of the Spice Girls, whose 2007 single """"All I Need to Know"""" was the lowest-charting single of her solo career?""","{'answer_start': array([792]), 'text': array(['emma bunton'], dtype=object)}"
The Jurassic period is known for the appearance on earth of what?,"{'answer_start': array([829]), 'text': array(['dinosaur'], dtype=object)}"
"""In Scotland and northern England, what is a """"bairn""""?""","{'answer_start': array([350]), 'text': array(['bairns'], dtype=object)}"
"""What kind of character is """"Touchstone"""", who appears in Shakespeare's """"As You Like It""""?""","{'answer_start': array([308]), 'text': array(['clown'], dtype=object)}"
Tanzania was renamed in 1964. What was it previously called?,"{'answer_start': array([645]), 'text': array(['tanzania'], dtype=object)}"
Tanzania was renamed in 1964. What was it previously called?,"{'answer_start': array([37]), 'text': array(['tanzania'], dtype=object)}"
Tanzania was renamed in 1964. What was it previously called?,"{'answer_start': array([1073]), 'text': array(['tanzania'], dtype=object)}"
"What was a demonstration sport at the 1988 Olympics in Seoul, when the opening ceremony featured a mass demonstration of it, involving hundreds of adults and children?","{'answer_start': array([737]), 'text': array(['taekwondo'], dtype=object)}"
"What was a demonstration sport at the 1988 Olympics in Seoul, when the opening ceremony featured a mass demonstration of it, involving hundreds of adults and children?","{'answer_start': array([229]), 'text': array(['taekwondo'], dtype=object)}"
"What was a demonstration sport at the 1988 Olympics in Seoul, when the opening ceremony featured a mass demonstration of it, involving hundreds of adults and children?","{'answer_start': array([1123]), 'text': array(['taekwondo'], dtype=object)}"
"""What is the name of the feast day in the Western Christian calendar which occurs on 29 September to honour the defeat of Lucifer in the battle for the heavens, for which the traditional meal includes goose (a """"stubble-goose"""", i.e. one prepared around harvest time)?""","{'answer_start': array([206]), 'text': array(['michael and all angels'], dtype=object)}"
"""What is the name of the feast day in the Western Christian calendar which occurs on 29 September to honour the defeat of Lucifer in the battle for the heavens, for which the traditional meal includes goose (a """"stubble-goose"""", i.e. one prepared around harvest time)?""","{'answer_start': array([1077]), 'text': array(['michael and all angels'], dtype=object)}"
"In 1949, who became the youngest player to represent England in test cricket?","{'answer_start': array([304]), 'text': array(['brian close'], dtype=object)}"
"In 1949, who became the youngest player to represent England in test cricket?","{'answer_start': array([204]), 'text': array(['brian close'], dtype=object)}"
"In 1949, who became the youngest player to represent England in test cricket?","{'answer_start': array([941]), 'text': array(['brian close'], dtype=object)}"
"Raph Koster, Brad McQuaid, Mark Jacobs, Brian Green and J. Todd Coleman are influential in MMORPG design. What is MMORPG?","{'answer_start': array([12]), 'text': array(['mmorpg'], dtype=object)}"
"Raph Koster, Brad McQuaid, Mark Jacobs, Brian Green and J. Todd Coleman are influential in MMORPG design. What is MMORPG?","{'answer_start': array([128]), 'text': array(['mmorpg'], dtype=object)}"
"""The score for the Broadway musical """"Kismet"""" was adapted from the music of which composer?""","{'answer_start': array([772]), 'text': array(['borodin'], dtype=object)}"
"""The score for the Broadway musical """"Kismet"""" was adapted from the music of which composer?""","{'answer_start': array([192]), 'text': array(['borodin'], dtype=object)}"
"""The score for the Broadway musical """"Kismet"""" was adapted from the music of which composer?""","{'answer_start': array([1209]), 'text': array(['borodin'], dtype=object)}"
"Which game that contained many D&D; features and references, including a computer controlled dungeon master, created in 1975 by Will Crowther on a DEC PDP-10 computer, the first widely used adventure game, was significantly expanded in 1976 by Don Woods, that inspired a group of students at MIT to write a game called Zork in the summer of 1977 for the PDP-10 minicomputer which became quite popular on the ARPANET?","{'answer_start': array([94]), 'text': array(['adventure'], dtype=object)}"
"Which game that contained many D&D; features and references, including a computer controlled dungeon master, created in 1975 by Will Crowther on a DEC PDP-10 computer, the first widely used adventure game, was significantly expanded in 1976 by Don Woods, that inspired a group of students at MIT to write a game called Zork in the summer of 1977 for the PDP-10 minicomputer which became quite popular on the ARPANET?","{'answer_start': array([196]), 'text': array(['adventure'], dtype=object)}"
Which golf club is designed to hit the ball the furthest distance?,"{'answer_start': array([732]), 'text': array(['driver'], dtype=object)}"
Which English cricket captain had a well-publicised row with Pakistani umpire Shakoor Rana in Faisalabad in 1987?,"{'answer_start': array([305]), 'text': array(['mike gatting'], dtype=object)}"
Which English cricket captain had a well-publicised row with Pakistani umpire Shakoor Rana in Faisalabad in 1987?,"{'answer_start': array([636]), 'text': array(['mike gatting'], dtype=object)}"
"""Who was known in the 1991 Gulf War as """"Stormin' Norman""""?""","{'answer_start': array([188]), 'text': array(['general norman schwarzkopf'], dtype=object)}"
"""Who was known in the 1991 Gulf War as """"Stormin' Norman""""?""","{'answer_start': array([952]), 'text': array(['general norman schwarzkopf'], dtype=object)}"
"""Who was known in the 1991 Gulf War as """"Stormin' Norman""""?""","{'answer_start': array([388]), 'text': array(['general norman schwarzkopf'], dtype=object)}"
"Lloyd's of London, a British insurance and reinsurance market, began around 1688 in what kind of place?","{'answer_start': array([831]), 'text': array(['coffee house'], dtype=object)}"
"Lloyd's of London, a British insurance and reinsurance market, began around 1688 in what kind of place?","{'answer_start': array([1084]), 'text': array(['coffee house'], dtype=object)}"
George Cukor directed which 1964 film musical?,"{'answer_start': array([619]), 'text': array(['my fair lady'], dtype=object)}"
George Cukor directed which 1964 film musical?,"{'answer_start': array([849]), 'text': array(['my fair lady'], dtype=object)}"
George Cukor directed which 1964 film musical?,"{'answer_start': array([805]), 'text': array(['my fair lady'], dtype=object)}"
"""The TV series """"Married... with Children"""" was set in which city?""","{'answer_start': array([1140]), 'text': array(['chicago'], dtype=object)}"
"What separates Wales from Devon, England?","{'answer_start': array([101]), 'text': array(['bristol channel'], dtype=object)}"
What are the topmost 7 vertebrae of the backbone called?,"{'answer_start': array([499]), 'text': array(['cervical'], dtype=object)}"
What are the topmost 7 vertebrae of the backbone called?,"{'answer_start': array([1176]), 'text': array(['cervical'], dtype=object)}"
How many decades are there in a millennium?,"{'answer_start': array([219]), 'text': array(['100'], dtype=object)}"
How many decades are there in a millennium?,"{'answer_start': array([672]), 'text': array(['100'], dtype=object)}"
How many decades are there in a millennium?,"{'answer_start': array([1345]), 'text': array(['100'], dtype=object)}"
"""Who wrote the poem """"Daffodils""""?""","{'answer_start': array([478]), 'text': array(['wordsworth'], dtype=object)}"
"""Who wrote the poem """"Daffodils""""?""","{'answer_start': array([1093]), 'text': array(['wordsworth'], dtype=object)}"
"""Who wrote the poem """"Daffodils""""?""","{'answer_start': array([615]), 'text': array(['wordsworth'], dtype=object)}"
"What is the medical description of the loss of hair from the head or body, sometimes to the extent of baldness?","{'answer_start': array([1087]), 'text': array(['alopecia'], dtype=object)}"
"What is the medical description of the loss of hair from the head or body, sometimes to the extent of baldness?","{'answer_start': array([538]), 'text': array(['alopecia'], dtype=object)}"
"What is the medical description of the loss of hair from the head or body, sometimes to the extent of baldness?","{'answer_start': array([1357]), 'text': array(['alopecia'], dtype=object)}"
"Who created St Trinians, a fictional girls' boarding school, the subject of 8 books and 7 films between 1954 and 2009?","{'answer_start': array([295]), 'text': array(['ronald searle'], dtype=object)}"
"Who created St Trinians, a fictional girls' boarding school, the subject of 8 books and 7 films between 1954 and 2009?","{'answer_start': array([871]), 'text': array(['ronald searle'], dtype=object)}"
"The Black Hawk War was for possession of lands east of the Mississippi. In which modern day state was the first confrontation, at Stillman's Run, on 14 May 1832, which resulted in a victory for Chief Black Hawk's Sauk and Fox warriors over the local militiamen commanded by Major Isaiah Stillman?","{'answer_start': array([155]), 'text': array(['illinois'], dtype=object)}"
"The Black Hawk War was for possession of lands east of the Mississippi. In which modern day state was the first confrontation, at Stillman's Run, on 14 May 1832, which resulted in a victory for Chief Black Hawk's Sauk and Fox warriors over the local militiamen commanded by Major Isaiah Stillman?","{'answer_start': array([459]), 'text': array(['illinois'], dtype=object)}"
"The Black Hawk War was for possession of lands east of the Mississippi. In which modern day state was the first confrontation, at Stillman's Run, on 14 May 1832, which resulted in a victory for Chief Black Hawk's Sauk and Fox warriors over the local militiamen commanded by Major Isaiah Stillman?","{'answer_start': array([952]), 'text': array(['illinois'], dtype=object)}"
"In 2006, Stephen Harper became the Prime Minister of which country?","{'answer_start': array([66]), 'text': array(['canada'], dtype=object)}"
"In 2006, Stephen Harper became the Prime Minister of which country?","{'answer_start': array([122]), 'text': array(['canada'], dtype=object)}"
"In 2006, Stephen Harper became the Prime Minister of which country?","{'answer_start': array([250]), 'text': array(['canada'], dtype=object)}"
Ninette de Valois was involved professionally in what activity?,"{'answer_start': array([299]), 'text': array(['ballet'], dtype=object)}"
Ninette de Valois was involved professionally in what activity?,"{'answer_start': array([936]), 'text': array(['ballet'], dtype=object)}"
Ninette de Valois was involved professionally in what activity?,"{'answer_start': array([89]), 'text': array(['ballet'], dtype=object)}"
What is the maximum number of points that can be scored from a single shot in basketball?,"{'answer_start': array([875]), 'text': array(['3'], dtype=object)}"
"Who was the last English king from the House of Normandy, succeeded by Henry II in 1154, the first of the Plantagenets?","{'answer_start': array([855]), 'text': array(['stephen'], dtype=object)}"
"Who was the last English king from the House of Normandy, succeeded by Henry II in 1154, the first of the Plantagenets?","{'answer_start': array([1092]), 'text': array(['stephen'], dtype=object)}"
"Who was the last English king from the House of Normandy, succeeded by Henry II in 1154, the first of the Plantagenets?","{'answer_start': array([990]), 'text': array(['stephen'], dtype=object)}"
Where was the first permanent European settlement established in North America?,"{'answer_start': array([917]), 'text': array(['florida'], dtype=object)}"
Where was the first permanent European settlement established in North America?,"{'answer_start': array([1132]), 'text': array(['florida'], dtype=object)}"
"Which Frenchman, who never learned to speak Swedish, became King Charles XIV John of Sweden and Norway?","{'answer_start': array([137]), 'text': array(['charles xiv'], dtype=object)}"
Aberdeen is known as what?,"{'answer_start': array([1127]), 'text': array(['granite city'], dtype=object)}"
Aberdeen is known as what?,"{'answer_start': array([686]), 'text': array(['granite city'], dtype=object)}"
"What name is given to 2 distinct diseases, one of which is a condition due to deficiency of secretion of the pancreas, the other associated with diseases of the pituatary gland?","{'answer_start': array([784]), 'text': array(['diabetes'], dtype=object)}"
Lemony Snicket wrote which series of children's books?,"{'answer_start': array([496]), 'text': array(['unfortunate events'], dtype=object)}"
Lemony Snicket wrote which series of children's books?,"{'answer_start': array([546]), 'text': array(['unfortunate events'], dtype=object)}"
Lemony Snicket wrote which series of children's books?,"{'answer_start': array([259]), 'text': array(['unfortunate events'], dtype=object)}"
"Which Austrian composer, whose works include 104 symphonies, 84 string quartets and 42 piano sonatas, received a D Mus degree at Oxford University, England?","{'answer_start': array([258]), 'text': array(['franz joseph haydn'], dtype=object)}"
On the Cartesian Plane where is the unit usually represented as i or j?,"{'answer_start': array([240]), 'text': array(['cartesian coordinate system'], dtype=object)}"
On the Cartesian Plane where is the unit usually represented as i or j?,"{'answer_start': array([944]), 'text': array(['cartesian coordinate system'], dtype=object)}"
